A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,Class
54,175,120,175,175,3,175,175,120,175,120,175,120,175,175,120,175,3,3,3,Normal
175,120,175,175,175,7,3,3,175,120,175,7,175,7,119,174,54,3,3,175,Normal
175,3,120,175,175,120,175,120,120,175,175,54,140,3,175,120,175,175,175,175,Normal
175,174,7,175,7,119,3,3,175,3,175,175,120,175,7,175,3,175,120,175,Normal
175,54,7,174,3,175,120,7,175,175,120,175,175,3,175,120,175,3,3,120,Normal
175,120,175,175,7,54,175,120,175,7,175,7,119,174,54,3,120,175,175,120,Normal
54,3,120,175,175,54,140,175,175,174,54,175,120,175,175,54,140,175,174,174,Normal
174,57,175,54,175,6,3,6,174,174,174,174,174,174,174,174,174,174,174,174,Normal
174,174,174,174,174,174,174,11,45,33,192,33,5,197,192,6,33,5,3,197,Normal
192,192,6,33,5,3,197,192,192,6,33,5,3,197,192,192,192,6,33,5,Normal
3,197,192,192,192,6,33,5,3,197,192,192,6,33,5,3,197,192,192,192,Normal
6,33,5,3,197,192,192,6,192,192,243,125,125,125,125,125,125,125,125,125,Normal
91,258,311,240,240,174,174,175,191,122,268,45,45,5,197,192,3,3,6,91,Normal
5,197,192,192,6,54,54,54,54,174,174,174,174,174,174,174,174,174,174,174,Normal
174,174,174,174,174,174,174,174,174,174,174,174,174,5,221,220,196,196,196,196,Normal
196,196,196,196,196,196,196,220,6,197,192,4,4,4,4,174,174,174,174,174,Normal
174,174,174,174,174,174,174,6,91,6,311,78,78,265,102,102,102,13,102,102,Normal
102,102,6,5,197,192,3,3,6,91,5,197,192,3,3,6,91,195,102,102,Normal
78,168,102,168,54,102,6,102,102,102,102,102,102,102,102,102,102,102,102,102,Normal
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,Normal
6,265,78,4,78,78,265,240,240,78,265,102,102,102,13,102,102,102,102,6,Normal
195,5,197,192,3,3,6,91,195,102,102,78,168,102,168,54,102,6,265,78,Normal
4,240,168,54,102,6,265,78,78,265,102,102,102,13,102,102,102,102,6,195,Normal
5,197,192,3,3,6,91,195,102,102,78,168,102,6,78,102,168,54,102,6,Normal
265,78,78,78,265,240,240,78,265,102,102,102,13,102,102,102,102,6,195,5,Normal
197,192,3,3,6,91,195,102,102,78,168,102,168,54,102,6,265,78,4,78,Normal
78,265,240,240,78,219,311,240,240,240,78,78,265,78,240,240,240,240,33,196,Normal
